"year","cites","pubid"
2011,3,"Se3iqnhoufwC"
2012,20,"Se3iqnhoufwC"
2013,19,"Se3iqnhoufwC"
2014,16,"Se3iqnhoufwC"
2015,6,"Se3iqnhoufwC"
2016,8,"Se3iqnhoufwC"
2017,19,"Se3iqnhoufwC"
2018,5,"Se3iqnhoufwC"
2019,19,"Se3iqnhoufwC"
2020,11,"Se3iqnhoufwC"
2021,18,"Se3iqnhoufwC"
2022,11,"Se3iqnhoufwC"
2023,10,"Se3iqnhoufwC"
2024,10,"Se3iqnhoufwC"
2025,5,"Se3iqnhoufwC"
2026,2,"Se3iqnhoufwC"
2018,10,"qhW0HyKmSusC"
2019,24,"qhW0HyKmSusC"
2020,24,"qhW0HyKmSusC"
2021,18,"qhW0HyKmSusC"
2022,24,"qhW0HyKmSusC"
2023,28,"qhW0HyKmSusC"
2024,25,"qhW0HyKmSusC"
2025,15,"qhW0HyKmSusC"
2026,6,"qhW0HyKmSusC"
2013,1,"l7t_Zn2s7bgC"
2014,6,"l7t_Zn2s7bgC"
2015,16,"l7t_Zn2s7bgC"
2016,9,"l7t_Zn2s7bgC"
2017,14,"l7t_Zn2s7bgC"
2018,17,"l7t_Zn2s7bgC"
2019,13,"l7t_Zn2s7bgC"
2020,21,"l7t_Zn2s7bgC"
2021,13,"l7t_Zn2s7bgC"
2022,5,"l7t_Zn2s7bgC"
2023,15,"l7t_Zn2s7bgC"
2024,8,"l7t_Zn2s7bgC"
2025,18,"l7t_Zn2s7bgC"
2026,8,"l7t_Zn2s7bgC"
2017,5,"CMPXdcK5v8EC"
2018,15,"CMPXdcK5v8EC"
2019,12,"CMPXdcK5v8EC"
2020,18,"CMPXdcK5v8EC"
2021,25,"CMPXdcK5v8EC"
2022,17,"CMPXdcK5v8EC"
2023,20,"CMPXdcK5v8EC"
2024,15,"CMPXdcK5v8EC"
2025,24,"CMPXdcK5v8EC"
2026,3,"CMPXdcK5v8EC"
2014,4,"oH8HCDhqVGsC"
2015,13,"oH8HCDhqVGsC"
2016,8,"oH8HCDhqVGsC"
2017,18,"oH8HCDhqVGsC"
2018,12,"oH8HCDhqVGsC"
2019,13,"oH8HCDhqVGsC"
2020,16,"oH8HCDhqVGsC"
2021,9,"oH8HCDhqVGsC"
2022,12,"oH8HCDhqVGsC"
2023,10,"oH8HCDhqVGsC"
2024,12,"oH8HCDhqVGsC"
2025,17,"oH8HCDhqVGsC"
2026,3,"oH8HCDhqVGsC"
2011,1,"kNdYIx-mwKoC"
2012,6,"kNdYIx-mwKoC"
2013,12,"kNdYIx-mwKoC"
2014,15,"kNdYIx-mwKoC"
2015,15,"kNdYIx-mwKoC"
2016,16,"kNdYIx-mwKoC"
2017,6,"kNdYIx-mwKoC"
2018,5,"kNdYIx-mwKoC"
2019,9,"kNdYIx-mwKoC"
2020,9,"kNdYIx-mwKoC"
2021,9,"kNdYIx-mwKoC"
2022,6,"kNdYIx-mwKoC"
2023,11,"kNdYIx-mwKoC"
2024,7,"kNdYIx-mwKoC"
2025,2,"kNdYIx-mwKoC"
2026,4,"kNdYIx-mwKoC"
2017,5,"Pqt4MY__2vwC"
2018,14,"Pqt4MY__2vwC"
2019,6,"Pqt4MY__2vwC"
2020,10,"Pqt4MY__2vwC"
2021,13,"Pqt4MY__2vwC"
2022,21,"Pqt4MY__2vwC"
2023,14,"Pqt4MY__2vwC"
2024,12,"Pqt4MY__2vwC"
2025,22,"Pqt4MY__2vwC"
2026,10,"Pqt4MY__2vwC"
2012,5,"hFOr9nPyWt4C"
2013,4,"hFOr9nPyWt4C"
2014,7,"hFOr9nPyWt4C"
2015,11,"hFOr9nPyWt4C"
2016,11,"hFOr9nPyWt4C"
2017,8,"hFOr9nPyWt4C"
2018,6,"hFOr9nPyWt4C"
2019,10,"hFOr9nPyWt4C"
2020,7,"hFOr9nPyWt4C"
2021,11,"hFOr9nPyWt4C"
2022,12,"hFOr9nPyWt4C"
2023,11,"hFOr9nPyWt4C"
2024,6,"hFOr9nPyWt4C"
2025,4,"hFOr9nPyWt4C"
2026,3,"hFOr9nPyWt4C"
2015,5,"QtA78RmWg5MC"
2016,10,"QtA78RmWg5MC"
2017,9,"QtA78RmWg5MC"
2018,16,"QtA78RmWg5MC"
2019,12,"QtA78RmWg5MC"
2020,13,"QtA78RmWg5MC"
2021,11,"QtA78RmWg5MC"
2022,6,"QtA78RmWg5MC"
2023,4,"QtA78RmWg5MC"
2024,7,"QtA78RmWg5MC"
2025,11,"QtA78RmWg5MC"
2026,3,"QtA78RmWg5MC"
2013,2,"ldfaerwXgEUC"
2014,2,"ldfaerwXgEUC"
2015,7,"ldfaerwXgEUC"
2016,13,"ldfaerwXgEUC"
2017,3,"ldfaerwXgEUC"
2018,6,"ldfaerwXgEUC"
2019,4,"ldfaerwXgEUC"
2020,15,"ldfaerwXgEUC"
2021,4,"ldfaerwXgEUC"
2022,7,"ldfaerwXgEUC"
2023,13,"ldfaerwXgEUC"
2024,13,"ldfaerwXgEUC"
2025,14,"ldfaerwXgEUC"
2026,3,"ldfaerwXgEUC"
2020,3,"gL9scSG3K_gC"
2021,12,"gL9scSG3K_gC"
2022,11,"gL9scSG3K_gC"
2023,25,"gL9scSG3K_gC"
2024,18,"gL9scSG3K_gC"
2025,20,"gL9scSG3K_gC"
2026,4,"gL9scSG3K_gC"
2016,5,"KqW5X_olkfQC"
2017,11,"KqW5X_olkfQC"
2018,10,"KqW5X_olkfQC"
2019,12,"KqW5X_olkfQC"
2020,11,"KqW5X_olkfQC"
2021,7,"KqW5X_olkfQC"
2022,11,"KqW5X_olkfQC"
2023,8,"KqW5X_olkfQC"
2024,6,"KqW5X_olkfQC"
2025,8,"KqW5X_olkfQC"
2026,4,"KqW5X_olkfQC"
2017,3,"ON9TkA72AHEC"
2018,9,"ON9TkA72AHEC"
2019,7,"ON9TkA72AHEC"
2020,9,"ON9TkA72AHEC"
2021,10,"ON9TkA72AHEC"
2022,12,"ON9TkA72AHEC"
2023,10,"ON9TkA72AHEC"
2024,11,"ON9TkA72AHEC"
2025,14,"ON9TkA72AHEC"
2026,4,"ON9TkA72AHEC"
2015,7,"fQNAKQ3IYiAC"
2016,7,"fQNAKQ3IYiAC"
2017,10,"fQNAKQ3IYiAC"
2018,10,"fQNAKQ3IYiAC"
